Packet_UID,Arrival_Time,MacTx_Time,PhyTxBegin_Time,Queue_Delay,Eligibility_Time,Inter_Departure_Time,Priority
0,1,1.00008,1.00008,0,-1,0,0
1,1.00008,1.00011,1.00028,0.00017215,1.00011,0.000201333,1
2,1.00008,1.00014,1.00031,0.000173234,1.00022,2.8e-05,1
3,1.00008,1.00017,1.00034,0.000174254,1.00032,2.8e-05,1
4,1.00008,1.0002,1.00043,0.000236468,1.00043,9.1851e-05,1
