Packet_UID,Arrival_Time,MacTx_Time,PhyTxBegin_Time,Queue_Delay,Eligibility_Time,Inter_Departure_Time,Priority
0,1,1.00007,1.00007,0,1.00007,0,7
1,1.00005,1.00008,1.00014,5.5804e-05,1.00008,6.8e-05,0
2,1.00014,1.00017,1.00019,1.9726e-05,1.00019,5.0863e-05,0
3,1.00014,1.0002,1.00029,9.9065e-05,1.00029,0.000106667,0
4,1.00014,1.00022,1.0004,0.000178757,1.0004,0.000106667,0
