Packet_UID,Arrival_Time,MacTx_Time,PhyTxBegin_Time,Queue_Delay,Eligibility_Time,Inter_Departure_Time
0,0.99989,0.999922,1,7.782e-05,-1,0
1,0.99989,0.999949,1.00008,0.000134641,-1,8.4e-05
2,0.99989,0.999977,1.00017,0.000190996,-1,8.4e-05
3,0.99989,1,1.00025,0.000248631,-1,8.4e-05
