Time,CBS_Credit
0,0
0,0
0,0
0.999922,0
0.999922,0
0.999949,0
0.999977,0
1,0
1,0
1,0
1,0
1,0
1,0
1.00003,-2240
1.00003,-2240
1.00008,0
1.00008,0
1.00008,0
1.00011,-2240
1.00011,-2240
1.00017,0
1.00017,0
1.00017,0
1.0002,-2240
1.0002,-2240
1.00025,0
1.00025,0
1.00025,0
1.00028,-2240
1.00028,-2240
1.00034,-2240
1.00034,0
3,0
3,0
3,0
3,0
4,0
4,0
4,0
4,0
4,0
6,0
6,0
6,0
6,0
7,0
7,0
7,0
7,0
7,0
9,0
9,0
9,0
9,0
