Packet_UID,Arrival_Time,MacTx_Time,PhyTxBegin_Time,Queue_Delay,Eligibility_Time,Inter_Departure_Time
0,0,3.218e-05,1,0.999968,8e-05,0
1,0,5.9359e-05,1.00003,0.999969,0.00016,2.8e-05
2,0,8.7004e-05,1.00006,0.999969,0.00024,2.8e-05
3,0,0.000114485,1.00008,0.99997,0.00032,2.8e-05
