Packet_UID,Arrival_Time,MacTx_Time,PhyTxBegin_Time,Queue_Delay,Eligibility_Time,Inter_Departure_Time,VlanId
0,1,1.00002,1.00008,5.5957e-05,1.00002,1.9556e-05,1
1,1,1.00002,1.00004,1.8606e-05,1.00002,1.9556e-05,2
2,1,1.00002,1.00006,3.6737e-05,1.00002,1.9556e-05,3
3,1,1.00002,1.00002,0,1.00002,0,4
