Packet_UID,Arrival_Time,MacTx_Time,PhyTxBegin_Time,Queue_Delay,Eligibility_Time,Inter_Departure_Time,VlanId
0,1,1.00002,1.00014,0.000114877,-1,5.8668e-05,1
1,1,1.00002,1.00002,0,-1,0,2
2,1,1.00002,1.00008,5.753e-05,-1,5.8668e-05,3
3,1,1.00002,1.0002,0.000173175,-1,5.8668e-05,4
