Time,CBS_Credit
1.00002,0
1.00002,0
1.00002,0
1.00002,0
1.00004,-1173.36
1.00004,-1173.36
1.00006,-641.82
1.00008,1.59162e-12
1.00008,1.59162e-12
1.00008,1.59162e-12
1.0001,-1173.36
1.0001,-1173.36
1.00014,3.18323e-12
1.00014,3.18323e-12
1.00014,3.18323e-12
1.00016,-1173.36
1.00016,-1173.36
1.0002,4.77485e-12
1.0002,4.77485e-12
1.0002,4.77485e-12
1.00022,-1173.36
1.00022,-1173.36
1.00026,6.36646e-12
1.00026,6.36646e-12
1.00026,6.36646e-12
1.00028,-1173.36
1.00028,-1173.36
1.00032,-1173.36
1.00032,0
