Packet_UID,Arrival_Time,MacTx_Time,PhyTxBegin_Time,Queue_Delay,Eligibility_Time,Inter_Departure_Time
0,1,1.00002,1.00002,0,-1,0
1,1,1.00004,1.00008,4.0153e-05,-1,5.8668e-05
2,1,1.00006,1.00014,8.0062e-05,-1,5.8668e-05
3,1,1.00008,1.0002,0.000116681,-1,5.8668e-05
4,1,1.0001,1.00026,0.000156465,-1,5.8668e-05
