Packet_UID,Arrival_Time,MacTx_Time,PhyTxBegin_Time,Queue_Delay,Eligibility_Time,Inter_Departure_Time,VlanId
0,1,1.00002,1.00002,0,1.00002,0,1
1,1,1.00003,1.00003,0,1.00003,1.7099e-05,2
2,1,1.00005,1.00008,3.0576e-05,1.00008,4.2901e-05,1
3,1,1.00006,1.00009,2.8939e-05,1.00008,1.4666e-05,2
4,1,1.00008,1.00013,4.9206e-05,1.00013,3.5765e-05,2
