Packet_UID,Arrival_Time,MacTx_Time,PhyTxBegin_Time,Queue_Delay,Eligibility_Time,Inter_Departure_Time,VlanId
0,1,1.00002,1.00002,0,1.00002,0,1
1,1.00004,1.00006,1.00006,0,1.00006,4.0384e-05,2
2,1.00008,1.0001,1.0001,7.7e-07,1.0001,3.9616e-05,1
3,1.00012,1.00014,1.00014,0,1.00014,3.9983e-05,2
4,1.00012,1.00015,1.00019,3.9136e-05,1.00019,5.3333e-05,2
