Packet_UID,Arrival_Time,MacTx_Time,PhyTxBegin_Time,Queue_Delay,Eligibility_Time,Inter_Departure_Time
0,1,1.00002,1.00002,0,1.00002,0
1,1,1.00004,1.00008,3.4818e-05,1.00008,5.3333e-05
2,1,1.00006,1.00013,6.9392e-05,1.00013,5.3333e-05
3,1,1.00008,1.00018,0.000103221,1.00018,5.3333e-05
4,1,1.0001,1.00024,0.000135125,1.00024,5.3333e-05
