Packet_UID,Generation_Time,Reception_Time,End_To_End_Delay,SW1_Arrival,SW1_Departure,SW2_Arrival,SW2_Departure,Diff_EntrySW1_ExitSW2,Stay_Time_SW1,Stay_Time_SW2,Inter_Departure
53,0.00039,0.000468815,7.8815e-05,0.000394089,0.000413748,0.000417837,0.000464726,7.0637e-05,1.9659e-05,4.6889e-05,1.04e-05
54,0.0004,0.000479215,7.9215e-05,0.000404089,0.000424148,0.000428237,0.000475126,7.1037e-05,2.0059e-05,4.6889e-05,1.04e-05
55,0.00041,0.000489615,7.9615e-05,0.000414089,0.000434548,0.000438637,0.000485526,7.1437e-05,2.0459e-05,4.6889e-05,1.04e-05
56,0.00042,0.000500015,8.0015e-05,0.000424089,0.000444948,0.000449037,0.000495926,7.1837e-05,2.0859e-05,4.6889e-05,1.04e-05
57,0.00043,0.000510415,8.0415e-05,0.000434089,0.000455348,0.000459437,0.000506326,7.2237e-05,2.1259e-05,4.6889e-05,1.04e-05
58,0.00044,0.000520815,8.0815e-05,0.000444089,0.000465748,0.000469837,0.000516726,7.2637e-05,2.1659e-05,4.6889e-05,1.04e-05
59,0.00045,0.000531215,8.1215e-05,0.000454089,0.000476148,0.000480237,0.000527126,7.3037e-05,2.2059e-05,4.6889e-05,1.04e-05
60,0.00046,0.000541615,8.1615e-05,0.000464089,0.000486548,0.000490637,0.000537526,7.3437e-05,2.2459e-05,4.6889e-05,1.04e-05
61,0.00047,0.000552015,8.2015e-05,0.000474089,0.000496948,0.000501037,0.000547926,7.3837e-05,2.2859e-05,4.6889e-05,1.04e-05
62,0.00048,0.000562415,8.2415e-05,0.000484089,0.000507348,0.000511437,0.000558326,7.4237e-05,2.3259e-05,4.6889e-05,1.04e-05
63,0.00049,0.000572815,8.2815e-05,0.000494089,0.000517748,0.000521837,0.000568726,7.4637e-05,2.3659e-05,4.6889e-05,1.04e-05
64,0.0005,0.000583215,8.3215e-05,0.000504089,0.000528148,0.000532237,0.000579126,7.5037e-05,2.4059e-05,4.6889e-05,1.04e-05
67,0.00051,0.000593615,8.3615e-05,0.000514089,0.000538548,0.000542637,0.000589526,7.5437e-05,2.4459e-05,4.6889e-05,1.04e-05
68,0.00052,0.000604015,8.4015e-05,0.000524089,0.000548948,0.000553037,0.000599926,7.5837e-05,2.4859e-05,4.6889e-05,1.04e-05
69,0.00053,0.000614415,8.4415e-05,0.000534089,0.000559348,0.000563437,0.000610326,7.6237e-05,2.5259e-05,4.6889e-05,1.04e-05
70,0.00054,0.000624815,8.4815e-05,0.000544089,0.000569748,0.000573837,0.000620726,7.6637e-05,2.5659e-05,4.6889e-05,1.04e-05
71,0.00055,0.000635215,8.5215e-05,0.000554089,0.000580148,0.000584237,0.000631126,7.7037e-05,2.6059e-05,4.6889e-05,1.04e-05
72,0.00056,0.000645615,8.5615e-05,0.000564089,0.000590548,0.000594637,0.000641526,7.7437e-05,2.6459e-05,4.6889e-05,1.04e-05
73,0.00057,0.000656015,8.6015e-05,0.000574089,0.000600948,0.000605037,0.000651926,7.7837e-05,2.6859e-05,4.6889e-05,1.04e-05
74,0.00058,0.000666415,8.6415e-05,0.000584089,0.000611348,0.000615437,0.000662326,7.8237e-05,2.7259e-05,4.6889e-05,1.04e-05
75,0.00059,0.000676815,8.6815e-05,0.000594089,0.000621748,0.000625837,0.000672726,7.8637e-05,2.7659e-05,4.6889e-05,1.04e-05
76,0.0006,0.000687215,8.7215e-05,0.000604089,0.000632148,0.000636237,0.000683126,7.9037e-05,2.8059e-05,4.6889e-05,1.04e-05
77,0.00061,0.000697615,8.7615e-05,0.000614089,0.000642548,0.000646637,0.000693526,7.9437e-05,2.8459e-05,4.6889e-05,1.04e-05
78,0.00062,0.000708015,8.8015e-05,0.000624089,0.000652948,0.000657037,0.000703926,7.9837e-05,2.8859e-05,4.6889e-05,1.04e-05
79,0.00063,0.000718415,8.8415e-05,0.000634089,0.000663348,0.000667437,0.000714326,8.0237e-05,2.9259e-05,4.6889e-05,1.04e-05
80,0.00064,0.000728815,8.8815e-05,0.000644089,0.000673748,0.000677837,0.000724726,8.0637e-05,2.9659e-05,4.6889e-05,1.04e-05
81,0.00065,0.000739215,8.9215e-05,0.000654089,0.000684148,0.000688237,0.000735126,8.1037e-05,3.0059e-05,4.6889e-05,1.04e-05
82,0.00066,0.000749615,8.9615e-05,0.000664089,0.000694548,0.000698637,0.000745526,8.1437e-05,3.0459e-05,4.6889e-05,1.04e-05
83,0.00067,0.000760015,9.0015e-05,0.000674089,0.000704948,0.000709037,0.000755926,8.1837e-05,3.0859e-05,4.6889e-05,1.04e-05
84,0.00068,0.000770415,9.0415e-05,0.000684089,0.000715348,0.000719437,0.000766326,8.2237e-05,3.1259e-05,4.6889e-05,1.04e-05
85,0.00069,0.000780815,9.0815e-05,0.000694089,0.000725748,0.000729837,0.000776726,8.2637e-05,3.1659e-05,4.6889e-05,1.04e-05
86,0.0007,0.000791215,9.1215e-05,0.000704089,0.000736148,0.000740237,0.000787126,8.3037e-05,3.2059e-05,4.6889e-05,1.04e-05
88,0.00071,0.000801615,9.1615e-05,0.000714089,0.000746548,0.000750637,0.000797526,8.3437e-05,3.2459e-05,4.6889e-05,1.04e-05
89,0.00072,0.000812015,9.2015e-05,0.000724089,0.000756948,0.000761037,0.000807926,8.3837e-05,3.2859e-05,4.6889e-05,1.04e-05
90,0.00073,0.000822415,9.2415e-05,0.000734089,0.000767348,0.000771437,0.000818326,8.4237e-05,3.3259e-05,4.6889e-05,1.04e-05
92,0.00074,0.000832815,9.2815e-05,0.000744089,0.000777748,0.000781837,0.000828726,8.4637e-05,3.3659e-05,4.6889e-05,1.04e-05
93,0.00075,0.000843215,9.3215e-05,0.000754089,0.000788148,0.000792237,0.000839126,8.5037e-05,3.4059e-05,4.6889e-05,1.04e-05
94,0.00076,0.000853615,9.3615e-05,0.000764089,0.000798548,0.000802637,0.000849526,8.5437e-05,3.4459e-05,4.6889e-05,1.04e-05
95,0.00077,0.000864015,9.4015e-05,0.000774089,0.000808948,0.000813037,0.000859926,8.5837e-05,3.4859e-05,4.6889e-05,1.04e-05
96,0.00078,0.000874415,9.4415e-05,0.000784089,0.000820771,0.00082486,0.000870326,8.6237e-05,3.6682e-05,4.5466e-05,1.04e-05
97,0.00079,0.000884815,9.4815e-05,0.000794089,0.000829748,0.000833837,0.000880726,8.6637e-05,3.5659e-05,4.6889e-05,1.04e-05
98,0.0008,0.000895215,9.5215e-05,0.000804089,0.000840148,0.000844237,0.000891126,8.7037e-05,3.6059e-05,4.6889e-05,1.04e-05
100,0.00081,0.000905615,9.5615e-05,0.000814089,0.000850548,0.000854637,0.000901526,8.7437e-05,3.6459e-05,4.6889e-05,1.04e-05
101,0.00082,0.000916015,9.6015e-05,0.000824089,0.000860948,0.000865037,0.000911926,8.7837e-05,3.6859e-05,4.6889e-05,1.04e-05
102,0.00083,0.000926415,9.6415e-05,0.000834089,0.000871348,0.000875437,0.000922326,8.8237e-05,3.7259e-05,4.6889e-05,1.04e-05
103,0.00084,0.000936815,9.6815e-05,0.000844089,0.000881748,0.000885837,0.000932726,8.8637e-05,3.7659e-05,4.6889e-05,1.04e-05
104,0.00085,0.000947215,9.7215e-05,0.000854089,0.000892148,0.000896237,0.000943126,8.9037e-05,3.8059e-05,4.6889e-05,1.04e-05
105,0.00086,0.000957615,9.7615e-05,0.000864089,0.000902548,0.000906637,0.000953526,8.9437e-05,3.8459e-05,4.6889e-05,1.04e-05
106,0.00087,0.000968015,9.8015e-05,0.000874089,0.000912948,0.000917037,0.000963926,8.9837e-05,3.8859e-05,4.6889e-05,1.04e-05
107,0.00088,0.000978415,9.8415e-05,0.000884089,0.000923348,0.000927437,0.000974326,9.0237e-05,3.9259e-05,4.6889e-05,1.04e-05
108,0.00089,0.000988815,9.8815e-05,0.000894089,0.000933748,0.000937837,0.000984726,9.0637e-05,3.9659e-05,4.6889e-05,1.04e-05
109,0.0009,0.000999215,9.9215e-05,0.000904089,0.000944148,0.000948237,0.000995126,9.1037e-05,4.0059e-05,4.6889e-05,1.04e-05
110,0.00091,0.00100961,9.9615e-05,0.000914089,0.000954548,0.000958637,0.00100553,9.1437e-05,4.0459e-05,4.6889e-05,1.04e-05
111,0.00092,0.00102001,0.000100015,0.000924089,0.000964948,0.000969037,0.00101593,9.1837e-05,4.0859e-05,4.6889e-05,1.04e-05
112,0.00093,0.00103042,0.000100415,0.000934089,0.000975348,0.000979437,0.00102633,9.2237e-05,4.1259e-05,4.6889e-05,1.04e-05
113,0.00094,0.00104082,0.000100815,0.000944089,0.000985748,0.000989837,0.00103673,9.2637e-05,4.1659e-05,4.6889e-05,1.04e-05
114,0.00095,0.00105121,0.000101215,0.000954089,0.000996148,0.00100024,0.00104713,9.3037e-05,4.2059e-05,4.6889e-05,1.04e-05
115,0.00096,0.00106161,0.000101615,0.000964089,0.00100655,0.00101064,0.00105753,9.3437e-05,4.2459e-05,4.6889e-05,1.04e-05
116,0.00097,0.00107201,0.000102015,0.000974089,0.00101695,0.00102104,0.00106793,9.3837e-05,4.2859e-05,4.6889e-05,1.04e-05
117,0.00098,0.00108241,0.000102415,0.000984089,0.00102735,0.00103144,0.00107833,9.4237e-05,4.3259e-05,4.6889e-05,1.04e-05
118,0.00099,0.00109282,0.000102815,0.000994089,0.00103775,0.00104184,0.00108873,9.4637e-05,4.3659e-05,4.6889e-05,1.04e-05
120,0.001,0.00110321,0.000103215,0.00100409,0.00104815,0.00105224,0.00109913,9.5037e-05,4.4059e-05,4.6889e-05,1.04e-05
121,0.00101,0.00111362,0.000103615,0.00101409,0.00105855,0.00106264,0.00110953,9.5437e-05,4.4459e-05,4.6889e-05,1.04e-05
122,0.00102,0.00112401,0.000104015,0.00102409,0.00106895,0.00107304,0.00111993,9.5837e-05,4.4859e-05,4.6889e-05,1.04e-05
123,0.00103,0.00113441,0.000104415,0.00103409,0.00107935,0.00108344,0.00113033,9.6237e-05,4.5259e-05,4.6889e-05,1.04e-05
124,0.00104,0.00114481,0.000104815,0.00104409,0.00109155,0.00109564,0.00114073,9.6637e-05,4.7459e-05,4.5089e-05,1.04e-05
125,0.00105,0.00115522,0.000105215,0.00105409,0.00110015,0.00110424,0.00115113,9.7037e-05,4.6059e-05,4.6889e-05,1.04e-05
126,0.00106,0.00116562,0.000105615,0.00106409,0.00111055,0.00111464,0.00116153,9.7437e-05,4.6459e-05,4.6889e-05,1.04e-05
128,0.00107,0.00117601,0.000106015,0.00107409,0.00112095,0.00112504,0.00117193,9.7837e-05,4.6859e-05,4.6889e-05,1.04e-05
129,0.00108,0.00118641,0.000106415,0.00108409,0.00113135,0.00113544,0.00118233,9.8237e-05,4.7259e-05,4.6889e-05,1.04e-05
130,0.00109,0.00119681,0.000106815,0.00109409,0.00114175,0.00114584,0.00119273,9.8637e-05,4.7659e-05,4.6889e-05,1.04e-05
131,0.0011,0.00120721,0.000107215,0.00110409,0.00115215,0.00115624,0.00120313,9.9037e-05,4.8059e-05,4.6889e-05,1.04e-05
132,0.00111,0.00121762,0.000107615,0.00111409,0.00116255,0.00116664,0.00121353,9.9437e-05,4.8459e-05,4.6889e-05,1.04e-05
133,0.00112,0.00122802,0.000108015,0.00112409,0.00117372,0.00117781,0.00122393,9.9837e-05,4.9635e-05,4.6113e-05,1.04e-05
134,0.00113,0.00123842,0.000108415,0.00113409,0.00118335,0.00118744,0.00123433,0.000100237,4.9259e-05,4.6889e-05,1.04e-05
135,0.00114,0.00124881,0.000108815,0.00114409,0.00119375,0.00119784,0.00124473,0.000100637,4.9659e-05,4.6889e-05,1.04e-05
136,0.00115,0.00125921,0.000109215,0.00115409,0.00120415,0.00120824,0.00125513,0.000101037,5.0059e-05,4.6889e-05,1.04e-05
138,0.00116,0.00126961,0.000109615,0.00116409,0.00121455,0.00121864,0.00126553,0.000101437,5.0459e-05,4.6889e-05,1.04e-05
139,0.00117,0.00128002,0.000110015,0.00117409,0.00122495,0.00122904,0.00127593,0.000101837,5.0859e-05,4.6889e-05,1.04e-05
140,0.00118,0.00129042,0.000110415,0.00118409,0.00123535,0.00123944,0.00128633,0.000102237,5.1259e-05,4.6889e-05,1.04e-05
141,0.00119,0.00130081,0.000110815,0.00119409,0.00124724,0.00125133,0.00129673,0.000102637,5.3149e-05,4.5399e-05,1.04e-05
143,0.0012,0.00131121,0.000111215,0.00120409,0.00125615,0.00126024,0.00130713,0.000103037,5.2059e-05,4.6889e-05,1.04e-05
144,0.00121,0.00132161,0.000111615,0.00121409,0.00126655,0.00127064,0.00131753,0.000103437,5.2459e-05,4.6889e-05,1.04e-05
145,0.00122,0.00133201,0.000112015,0.00122409,0.00127695,0.00128104,0.00132793,0.000103837,5.2859e-05,4.6889e-05,1.04e-05
146,0.00123,0.00134242,0.000112415,0.00123409,0.00129323,0.00129732,0.00133833,0.000104237,5.914e-05,4.1008e-05,1.04e-05
148,0.00124,0.00135282,0.000112815,0.00124409,0.00129775,0.00130184,0.00134873,0.000104637,5.3659e-05,4.6889e-05,1.04e-05
149,0.00125,0.00136322,0.000113215,0.00125409,0.00130815,0.00131224,0.00135913,0.000105037,5.4059e-05,4.6889e-05,1.04e-05
150,0.00126,0.00137361,0.000113615,0.00126409,0.00131855,0.00132264,0.00136953,0.000105437,5.4459e-05,4.6889e-05,1.04e-05
151,0.00127,0.00138401,0.000114015,0.00127409,0.00132895,0.00133304,0.00137993,0.000105837,5.4859e-05,4.6889e-05,1.04e-05
154,0.00128,0.00139441,0.000114415,0.00128409,0.00133935,0.00134344,0.00139033,0.000106237,5.5259e-05,4.6889e-05,1.04e-05
156,0.00129,0.00140482,0.000114815,0.00129409,0.00134975,0.00135384,0.00140073,0.000106637,5.5659e-05,4.6889e-05,1.04e-05
157,0.0013,0.00141522,0.000115215,0.00130409,0.00136015,0.00136424,0.00141113,0.000107037,5.6059e-05,4.6889e-05,1.04e-05
158,0.00131,0.00142561,0.000115615,0.00131409,0.00137055,0.00137464,0.00142153,0.000107437,5.6459e-05,4.6889e-05,1.04e-05
159,0.00132,0.00143601,0.000116015,0.00132409,0.00138095,0.00138504,0.00143193,0.000107837,5.6859e-05,4.6889e-05,1.04e-05
160,0.00133,0.00144641,0.000116415,0.00133409,0.00139135,0.00139544,0.00144233,0.000108237,5.7259e-05,4.6889e-05,1.04e-05
161,0.00134,0.00145681,0.000116815,0.00134409,0.00140175,0.00140584,0.00145273,0.000108637,5.7659e-05,4.6889e-05,1.04e-05
162,0.00135,0.00146722,0.000117215,0.00135409,0.00141215,0.00141624,0.00146313,0.000109037,5.8059e-05,4.6889e-05,1.04e-05
163,0.00136,0.00147762,0.000117615,0.00136409,0.00142255,0.00142664,0.00147353,0.000109437,5.8459e-05,4.6889e-05,1.04e-05
164,0.00137,0.00148802,0.000118015,0.00137409,0.00143295,0.00143704,0.00148393,0.000109837,5.8859e-05,4.6889e-05,1.04e-05
165,0.00138,0.00149841,0.000118415,0.00138409,0.00144335,0.00144744,0.00149433,0.000110237,5.9259e-05,4.6889e-05,1.04e-05
166,0.00139,0.00150881,0.000118815,0.00139409,0.00145375,0.00145784,0.00150473,0.000110637,5.9659e-05,4.6889e-05,1.04e-05
167,0.0014,0.00151921,0.000119215,0.00140409,0.00146415,0.00146824,0.00151513,0.000111037,6.0059e-05,4.6889e-05,1.04e-05
168,0.00141,0.00152962,0.000119615,0.00141409,0.00147455,0.00147864,0.00152553,0.000111437,6.0459e-05,4.6889e-05,1.04e-05
169,0.00142,0.00154002,0.000120015,0.00142409,0.00148495,0.00148904,0.00153593,0.000111837,6.0859e-05,4.6889e-05,1.04e-05
170,0.00143,0.00155041,0.000120415,0.00143409,0.00149535,0.00149944,0.00154633,0.000112237,6.1259e-05,4.6889e-05,1.04e-05
171,0.00144,0.00156081,0.000120815,0.00144409,0.00150575,0.00150984,0.00155673,0.000112637,6.1659e-05,4.6889e-05,1.04e-05
172,0.00145,0.00157121,0.000121215,0.00145409,0.00151692,0.00152101,0.00156713,0.000113037,6.2835e-05,4.6113e-05,1.04e-05
173,0.00146,0.00158161,0.000121615,0.00146409,0.00152655,0.00153064,0.00157753,0.000113437,6.2459e-05,4.6889e-05,1.04e-05
174,0.00147,0.00159202,0.000122015,0.00147409,0.00153695,0.00154104,0.00158793,0.000113837,6.2859e-05,4.6889e-05,1.04e-05
175,0.00148,0.00160242,0.000122415,0.00148409,0.00154735,0.00155144,0.00159833,0.000114237,6.3259e-05,4.6889e-05,1.04e-05
176,0.00149,0.00161282,0.000122815,0.00149409,0.00155944,0.00156353,0.00160873,0.000114637,6.5347e-05,4.5201e-05,1.04e-05
178,0.0015,0.00162321,0.000123215,0.00150409,0.00156815,0.00157224,0.00161913,0.000115037,6.4059e-05,4.6889e-05,1.04e-05
179,0.00151,0.00163361,0.000123615,0.00151409,0.00157855,0.00158264,0.00162953,0.000115437,6.4459e-05,4.6889e-05,1.04e-05
180,0.00152,0.00164401,0.000124015,0.00152409,0.00158895,0.00159304,0.00163993,0.000115837,6.4859e-05,4.6889e-05,1.04e-05
181,0.00153,0.00165442,0.000124415,0.00153409,0.00159935,0.00160344,0.00165033,0.000116237,6.5259e-05,4.6889e-05,1.04e-05
182,0.00154,0.00166482,0.000124815,0.00154409,0.00160975,0.00161384,0.00166073,0.000116637,6.5659e-05,4.6889e-05,1.04e-05
184,0.00155,0.00167521,0.000125215,0.00155409,0.00162015,0.00162424,0.00167113,0.000117037,6.6059e-05,4.6889e-05,1.04e-05
