Packet_UID,Arrival_Time,MacTx_Time,PhyTxBegin_Time,Queue_Delay,Eligibility_Time,Inter_Departure_Time
0,1,1.00004,1.00004,0,1.00004,0
1,1,1.00006,1.00009,3.4651e-05,1.00009,5.3333e-05
2,1,1.0001,1.0002,0.000102271,1.0002,0.000106667
